attributeName	code	definition
PLOT	BGS	Black Gum Swamp wetland site
PLOT	EMS	Environmental Measurement Station upland site
SPECIES	bg	Nyssa sylvatica (black gum)
SPECIES	rm	Acer rubrum (red maple)
SPECIES	hem	Tsuga canadensis (eastern hemlock)
SPECIES	ro	Quercus rubra (red oak)
qa_check	good	Measurement passed all quality checks
qa_check	bad	Measurement failed quality checks
location	Wetland	Black Gum Swamp wetland site
location	Upland	Environmental Measurement Station upland site
new_round	TRUE	First measurement of a new sampling round
new_round	FALSE	Continuation of current sampling round
